Document Lengths:
--------------------------------------------------------------------------------
doc1 length 1.373462
doc2 length 1.279618
doc3 length 0.498974
doc4 length 0.782941
doc5 length 0.582747
doc6 length 0.674270
doc7 length 1.223496
doc8 length 1.223496
doc9 length 1.106137
doc10 length 1.106137

Term           doc1        doc2        doc3        doc4        doc5        doc6        doc7        doc8        doc9        doc10       
------------------------------------------------------------------------------------------------------------------------
angels         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.427365    0.427365    0.472707    0.000000    
antony         0.380701    0.408621    0.000000    0.000000    0.000000    0.775474    0.000000    0.000000    0.000000    0.000000    
brutus         0.380701    0.408621    0.000000    0.667839    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
caeser         0.219176    0.235250    0.000000    0.384486    0.516570    0.446453    0.000000    0.000000    0.000000    0.000000    
calpurnia      0.000000    0.781483    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
cleopatra      0.728087    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
fear           0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.427365    0.427365    0.000000    0.472707    
fools          0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.325248    0.325248    0.359756    0.359756    
in             0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.325248    0.325248    0.359756    0.359756    
mercy          0.219176    0.000000    0.603298    0.384486    0.516570    0.446453    0.000000    0.000000    0.000000    0.000000    
rush           0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.325248    0.325248    0.359756    0.359756    
to             0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.325248    0.325248    0.359756    0.359756    
tread          0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.325248    0.325248    0.359756    0.359756    
where          0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.325248    0.325248    0.359756    0.359756    
worser         0.289735    0.000000    0.797516    0.508263    0.682869    0.000000    0.000000    0.000000    0.000000    0.000000    
