Term           doc1    doc2    doc3    doc4    doc5    doc6    doc7    doc8    doc9    doc10   
--------------------------------------------------------------------------------
angels         0       0       0       0       0       0       1       1       1       0       
antony         1       1       0       0       0       1       0       0       0       0       
brutus         1       1       0       1       0       0       0       0       0       0       
caeser         1       1       0       1       1       1       0       0       0       0       
calpurnia      0       1       0       0       0       0       0       0       0       0       
cleopatra      1       0       0       0       0       0       0       0       0       0       
fear           0       0       0       0       0       0       1       1       0       1       
fools          0       0       0       0       0       0       1       1       1       1       
in             0       0       0       0       0       0       1       1       1       1       
mercy          1       0       1       1       1       1       0       0       0       0       
rush           0       0       0       0       0       0       1       1       1       1       
to             0       0       0       0       0       0       1       1       1       1       
tread          0       0       0       0       0       0       1       1       1       1       
where          0       0       0       0       0       0       1       1       1       1       
worser         1       0       1       1       1       0       0       0       0       0       
