Term           doc1        doc10       doc2        doc3        doc4        doc5        doc6        doc7        doc8        doc9        
--------------------------------------------------------------------------------
angels         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.522879    0.522879    0.522879    
antony         0.522879    0.000000    0.522879    0.000000    0.000000    0.000000    0.522879    0.000000    0.000000    0.000000    
brutus         0.522879    0.000000    0.522879    0.000000    0.522879    0.000000    0.000000    0.000000    0.000000    0.000000    
caeser         0.301030    0.000000    0.301030    0.000000    0.301030    0.301030    0.301030    0.000000    0.000000    0.000000    
calpurnia      0.000000    0.000000    1.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
cleopatra      1.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
fear           0.000000    0.522879    0.000000    0.000000    0.000000    0.000000    0.000000    0.522879    0.522879    0.000000    
fools          0.000000    0.397940    0.000000    0.000000    0.000000    0.000000    0.000000    0.397940    0.397940    0.397940    
in             0.000000    0.397940    0.000000    0.000000    0.000000    0.000000    0.000000    0.397940    0.397940    0.397940    
mercy          0.301030    0.000000    0.000000    0.301030    0.301030    0.301030    0.301030    0.000000    0.000000    0.000000    
rush           0.000000    0.397940    0.000000    0.000000    0.000000    0.000000    0.000000    0.397940    0.397940    0.397940    
to             0.000000    0.397940    0.000000    0.000000    0.000000    0.000000    0.000000    0.397940    0.397940    0.397940    
tread          0.000000    0.397940    0.000000    0.000000    0.000000    0.000000    0.000000    0.397940    0.397940    0.397940    
where          0.000000    0.397940    0.000000    0.000000    0.000000    0.000000    0.000000    0.397940    0.397940    0.397940    
worser         0.397940    0.000000    0.000000    0.397940    0.397940    0.397940    0.000000    0.000000    0.000000    0.000000    
